id_client,prenom,nom,ville,date_inscription,nb_commandes,montant_total,derniere_commande,email_valide,age
1,Kouassi,Toure,Daloa,2024-07-03,4,339.13,2024-10-28,True,57.0
2,Sekou,Traore,Bouaké,2023-06-08,5,693.21,2024-07-22,True,34.5
3,Fatou,Traore,Korhogo,2025-01-24,6,0.0,2026-01-21,True,27.0
4,Marie,Yao,Korhogo,2023-05-21,1,418.2,2025-04-02,True,23.0
5,Aminata,Ouattara,San Pedro,2023-12-22,2,516.89,2025-01-02,True,43.0
6,Sekou,Kone,Abidjan,2023-02-20,7,1072.37,2024-12-11,True,41.0
7,Kouassi,Kone,Abidjan,2023-11-05,2,117.82,2025-04-24,True,18.0
8,Sekou,Yao,Daloa,2025-03-16,4,113.66,2026-07-08,True,33.0
9,Kouassi,Traore,Korhogo,2024-12-10,1,156.48,2026-02-27,True,45.0
10,Marie,Bamba,Korhogo,2023-02-18,3,826.81,2023-07-08,True,35.0
11,Aya,Bamba,Abidjan,2024-03-10,3,318.61,2025-05-07,True,28.0
12,Adjoua,Bamba,Abidjan,2025-02-07,5,297.9,2025-04-02,True,30.0
13,Aya,Coulibaly,Abidjan,2025-03-10,8,241.96,2026-01-31,True,27.0
14,Aya,Bamba,Daloa,2023-08-27,10,0.0,2023-09-02,True,24.0
15,Yao,Diabate,San Pedro,2024-11-03,1,328.81,2026-05-12,True,19.0
16,Awa,N'Guessan,Daloa,2025-03-25,4,250.14,2025-12-05,True,47.0
17,Fatou,Toure,Korhogo,2023-08-14,4,409.74,2023-12-19,True,35.0
18,Yao,Coulibaly,San Pedro,2025-05-31,1,630.61,2026-05-24,True,43.0
19,Sekou,Toure,Yamoussoukro,2023-10-05,5,8.34,2023-10-21,True,41.0
20,Ibrahim,Kone,Abidjan,2024-01-13,2,138.22,2024-06-28,True,24.0
21,Fatou,Coulibaly,Bouaké,2025-01-18,4,218.79,2026-01-15,True,35.0
22,Yao,Toure,Korhogo,2024-11-23,3,586.56,2025-07-07,True,24.0
23,Aminata,Ouattara,Yamoussoukro,2023-02-24,4,477.59,2024-06-28,True,18.0
24,Marie,Coulibaly,Yamoussoukro,2024-05-21,3,360.07,2024-12-23,True,30.0
25,Awa,Coulibaly,Bouaké,2024-09-07,5,0.0,2024-10-20,True,48.0
26,Ibrahim,Yao,Yamoussoukro,2025-03-27,3,532.59,2026-05-13,True,36.0
27,Fatou,Toure,Daloa,2024-01-09,5,305.17,2024-01-24,True,36.0
28,Fatou,N'Guessan,Abidjan,2025-03-04,2,105.41,2025-12-30,True,47.0
29,Adjoua,Kone,Abidjan,2023-08-11,4,54.92,2024-02-14,True,41.0
30,Koffi,Ouattara,San Pedro,2023-05-11,3,405.45,2024-04-23,True,18.0
31,Adjoua,Kone,Inconnue,2024-02-01,4,367.28,2025-03-22,True,34.5
32,Yao,Coulibaly,San Pedro,2025-06-09,9,925.18,2026-07-30,True,28.0
33,Marie,Traore,Yamoussoukro,2024-01-11,3,0.0,2024-12-19,True,34.5
34,Koffi,Ouattara,Daloa,2023-07-06,6,130.55,2025-01-19,True,39.0
35,Koffi,Yao,Daloa,2024-08-06,5,234.79,2025-04-21,True,28.0
36,Kouassi,Bamba,San Pedro,2024-05-31,5,694.61,2024-07-31,True,28.0
37,Adjoua,N'Guessan,Yamoussoukro,2023-01-03,4,173.58,2024-09-10,True,36.0
38,Aya,N'Guessan,Yamoussoukro,2024-09-26,7,0.0,2025-08-19,True,19.0
39,Ibrahim,Coulibaly,Yamoussoukro,2023-06-25,2,206.83,2025-02-06,True,37.0
40,Fatou,Yao,Bouaké,2023-10-28,6,457.61,2024-04-12,True,34.5
41,Jean,Kone,Yamoussoukro,2024-07-24,7,330.57,2026-05-24,True,24.0
42,Jean,N'Guessan,Daloa,2023-03-23,3,484.46,2023-07-13,True,18.0
43,Awa,Kone,Bouaké,2023-12-26,4,402.37,2024-08-05,True,53.0
44,Sekou,Coulibaly,Yamoussoukro,2024-02-16,5,616.57,2025-03-22,True,22.0
45,Sekou,Toure,Korhogo,2024-12-05,1,178.22,2025-07-19,True,57.0
46,Kouassi,Yao,Abidjan,2024-04-04,1,253.38,2025-07-06,True,18.0
47,Koffi,Yao,Bouaké,2024-06-21,3,342.35,2024-11-24,True,48.0
48,Ibrahim,Diabate,Yamoussoukro,2025-03-10,3,451.79,2025-06-01,True,33.0
49,Marie,N'Guessan,Bouaké,2024-03-28,4,365.58,2025-09-02,True,32.0
50,Fatou,Kouassi,Abidjan,2024-05-06,8,503.06,2025-11-14,True,43.0
51,Adjoua,Yao,Daloa,2025-01-03,1,163.4,2025-12-31,True,56.0
52,Awa,Coulibaly,Abidjan,2023-04-27,4,153.23,2024-09-02,True,54.0
53,Marie,Toure,Yamoussoukro,2024-06-27,7,342.54,2025-05-02,True,35.0
54,Yao,Coulibaly,San Pedro,2024-10-21,3,524.51,2026-06-01,True,36.0
55,Ibrahim,Diabate,Inconnue,2023-04-13,4,643.86,2023-04-21,True,46.0
56,Fatou,Coulibaly,Abidjan,2023-12-25,8,1032.09,2024-01-15,True,49.0
57,Jean,Ouattara,San Pedro,2024-05-29,1,553.13,2024-06-09,True,29.0
58,Jean,Toure,Daloa,2024-06-20,4,479.92,2025-04-22,True,48.0
59,Aminata,Kouassi,Bouaké,2024-12-23,6,661.85,2025-05-30,True,33.0
60,Awa,Toure,Yamoussoukro,2023-01-24,4,397.13,2024-03-18,False,47.0
61,Jean,Kone,Abidjan,2025-05-15,7,801.52,2026-04-24,True,51.0
62,Adjoua,Ouattara,Korhogo,2024-08-21,4,162.29,2025-09-05,True,33.0
63,Kouassi,Toure,Bouaké,2024-05-18,4,569.87,2025-02-02,True,31.0
64,Adjoua,Ouattara,San Pedro,2024-02-28,3,295.67,2025-10-11,True,46.0
65,Yao,Yao,Korhogo,2025-02-16,5,83.29,2025-06-02,True,18.0
66,Aya,Yao,Korhogo,2023-07-23,6,382.82,2024-12-14,True,34.0
67,Kouassi,Kouassi,Korhogo,2023-10-09,1,395.89,2024-03-17,True,34.0
68,Sekou,Traore,Bouaké,2023-07-25,4,25.66,2024-09-23,True,41.0
69,Aminata,Kone,Yamoussoukro,2024-03-03,2,168.12,2025-02-06,True,41.0
70,Aminata,Traore,Bouaké,2025-02-14,3,304.95,2025-07-08,True,34.0
71,Koffi,Diabate,Korhogo,2023-10-30,1,307.6,2023-10-30,True,40.0
72,Jean,Diabate,Abidjan,2024-10-15,3,312.49,2025-11-06,True,38.0
73,Aya,Coulibaly,Daloa,2024-08-11,3,303.25,2025-12-05,True,44.0
74,Kouassi,Coulibaly,Yamoussoukro,2023-10-06,4,119.78,2024-02-25,True,18.0
75,Marie,Kone,Yamoussoukro,2025-04-07,4,100.42,2025-04-09,True,38.0
76,Sekou,Yao,Daloa,2023-11-24,2,91.79,2024-09-22,True,18.0
77,Yao,Traore,Daloa,2023-10-27,7,457.97,2023-12-16,True,39.0
78,Koffi,Yao,Daloa,2025-02-27,2,383.11,2026-07-05,True,63.0
79,Kouassi,Kone,San Pedro,2025-01-20,4,127.69,2025-05-07,True,35.0
80,Jean,N'Guessan,Bouaké,2023-06-08,3,321.17,2024-06-26,True,41.0
81,Aminata,Diabate,Yamoussoukro,2024-11-15,6,63.37,2026-02-13,True,55.0
82,Awa,Traore,Abidjan,2024-12-20,5,507.0,2026-03-03,True,43.0
83,Awa,Yao,Korhogo,2024-11-17,4,126.69,2026-02-14,True,26.0
84,Sekou,Toure,Yamoussoukro,2024-10-11,2,221.73,2025-06-30,True,26.0
85,Yao,Traore,San Pedro,2025-04-14,3,528.31,2025-12-27,True,28.0
86,Sekou,Yao,Inconnue,2023-10-15,2,101.86,2024-12-12,True,26.0
87,Aya,Yao,Korhogo,2025-02-19,3,526.06,2026-05-27,True,34.5
88,Adjoua,Coulibaly,San Pedro,2024-01-16,2,30.07,2025-01-03,True,19.0
89,Jean,Toure,Abidjan,2023-04-26,3,131.81,2023-11-19,True,42.0
90,Aya,Bamba,Korhogo,2024-10-31,6,137.84,2026-03-31,True,31.0
91,Fatou,Kouassi,Abidjan,2023-09-05,4,239.23,2024-12-07,True,39.0
92,Koffi,Toure,Korhogo,2025-01-07,1,162.46,2026-01-02,True,20.0
93,Marie,Yao,Korhogo,2025-01-30,4,525.63,2025-06-21,True,35.0
94,Marie,Diabate,San Pedro,2023-04-11,5,774.2,2023-06-16,True,38.0
95,Adjoua,Coulibaly,Yamoussoukro,2024-06-09,2,113.42,2025-03-01,True,50.0
96,Awa,Toure,San Pedro,2025-03-03,3,380.95,2025-03-27,True,33.0
97,Aminata,Coulibaly,Abidjan,2024-04-26,1,358.78,2025-12-24,True,35.0
98,Yao,Bamba,San Pedro,2024-06-26,3,430.32,2024-08-24,True,19.0
